6635????          xor ax,0x????
334C????          xor ecx,[eax+edx*4+0x??]
334D??            xor ecx,[ebp+0x??]
334E??            xor ecx,[esi+0x??]
334F??            xor ecx,[edi+0x??]
3350??            xor edx,[eax+0x??]
3351??            xor edx,[ecx+0x??]
3352??            xor edx,[edx+0x??]
3353??            xor edx,[ebx+0x??]
3354????          xor edx,[eax+edx*4+0x??]
3355??            xor edx,[ebp+0x??]
3356??            xor edx,[esi+0x??]
3357??            xor edx,[edi+0x??]
3358??            xor ebx,[eax+0x??]
3359??            xor ebx,[ecx+0x??]
335A??            xor ebx,[edx+0x??]
3361??            xor esp,[ecx+0x??]
3362??            xor esp,[edx+0x??]
3363??            xor esp,[ebx+0x??]
3364????          xor esp,[eax+edx*4+0x??]
3365??            xor esp,[ebp+0x??]
3366??            xor esp,[esi+0x??]
3367??            xor esp,[edi+0x??]
3368??            xor ebp,[eax+0x??]
3369??            xor ebp,[ecx+0x??]
336A??            xor ebp,[edx+0x??]
336B??            xor ebp,[ebx+0x??]
336C????          xor ebp,[eax+edx*4+0x??]
336D??            xor ebp,[ebp+0x??]
336E??            xor ebp,[esi+0x??]
336F??            xor ebp,[edi+0x??]
3370??            xor esi,[eax+0x??]
3371??            xor esi,[ecx+0x??]
3372??            xor esi,[edx+0x??]
3373??            xor esi,[ebx+0x??]
3374????          xor esi,[eax+edx*4+0x??]
3375??            xor esi,[ebp+0x??]
3376??            xor esi,[esi+0x??]
3377??            xor esi,[edi+0x??]
3378??            xor edi,[eax+0x??]
3379??            xor edi,[ecx+0x??]
337A??            xor edi,[edx+0x??]
33??????????      xor edx,[eax+0x????????]
382B              cmp [ebx],ch
382F              cmp [edi],ch
3830              cmp [eax],dh
3831              cmp [ecx],dh
3832              cmp [edx],dh
3833              cmp [ebx],dh
3834??            cmp [eax+edx*4],dh
3835????????      cmp [dword 0x????????],dh
3836              cmp [esi],dh
3837              cmp [edi],dh
3838              cmp [eax],bh
3839              cmp [ecx],bh
3841??            cmp [ecx+0x??],al
3842??            cmp [edx+0x??],al
3843??            cmp [ebx+0x??],al
3844????          cmp [eax+edx*4+0x??],al
3845??            cmp [ebp+0x??],al
3846??            cmp [esi+0x??],al
3847??            cmp [edi+0x??],al
3848??            cmp [eax+0x??],cl
3849??            cmp [ecx+0x??],cl
384A??            cmp [edx+0x??],cl
384B??            cmp [ebx+0x??],cl
384C????          cmp [eax+edx*4+0x??],cl
384D??            cmp [ebp+0x??],cl
384E??            cmp [esi+0x??],cl
384F??            cmp [edi+0x??],cl
3850??            cmp [eax+0x??],dl
3851??            cmp [ecx+0x??],dl
3852??            cmp [edx+0x??],dl
3853??            cmp [ebx+0x??],dl
3854????          cmp [eax+edx*4+0x??],dl
3855??            cmp [ebp+0x??],dl
3856??            cmp [esi+0x??],dl
3857??            cmp [edi+0x??],dl
3858??            cmp [eax+0x??],bl
3859??            cmp [ecx+0x??],bl
385A??            cmp [edx+0x??],bl
3861??            cmp [ecx+0x??],ah
3862??            cmp [edx+0x??],ah
3863??            cmp [ebx+0x??],ah
3864????          cmp [eax+edx*4+0x??],ah
3865??            cmp [ebp+0x??],ah
3866??            cmp [esi+0x??],ah
3867??            cmp [edi+0x??],ah
3868??            cmp [eax+0x??],ch
3869??            cmp [ecx+0x??],ch
386A??            cmp [edx+0x??],ch
386B??            cmp [ebx+0x??],ch
386C????          cmp [eax+edx*4+0x??],ch
386D??            cmp [ebp+0x??],ch
386E??            cmp [esi+0x??],ch
386F??            cmp [edi+0x??],ch
3870??            cmp [eax+0x??],dh
3871??            cmp [ecx+0x??],dh
3872??            cmp [edx+0x??],dh
3873??            cmp [ebx+0x??],dh
3874????          cmp [eax+edx*4+0x??],dh
3875??            cmp [ebp+0x??],dh
3876??            cmp [esi+0x??],dh
3877??            cmp [edi+0x??],dh
3878??            cmp [eax+0x??],bh
3879??            cmp [ecx+0x??],bh
387A??            cmp [edx+0x??],bh
38??????????      cmp [eax+0x????????],dl
392B              cmp [ebx],ebp
392F              cmp [edi],ebp
3930              cmp [eax],esi
3931              cmp [ecx],esi
3932              cmp [edx],esi
3933              cmp [ebx],esi
3934??            cmp [eax+edx*4],esi
3935????????      cmp [dword 0x????????],esi
3936              cmp [esi],esi
3937              cmp [edi],esi
3938              cmp [eax],edi
3939              cmp [ecx],edi
3941??            cmp [ecx+0x??],eax
3942??            cmp [edx+0x??],eax
3943??            cmp [ebx+0x??],eax
3944????          cmp [eax+edx*4+0x??],eax
3945??            cmp [ebp+0x??],eax
3946??            cmp [esi+0x??],eax
3947??            cmp [edi+0x??],eax
3948??            cmp [eax+0x??],ecx
3949??            cmp [ecx+0x??],ecx
394A??            cmp [edx+0x??],ecx
394B??            cmp [ebx+0x??],ecx
394C????          cmp [eax+edx*4+0x??],ecx
394D??            cmp [ebp+0x??],ecx
394E??            cmp [esi+0x??],ecx
394F??            cmp [edi+0x??],ecx
3950??            cmp [eax+0x??],edx
3951??            cmp [ecx+0x??],edx
3952??            cmp [edx+0x??],edx
3953??            cmp [ebx+0x??],edx
3954????          cmp [eax+edx*4+0x??],edx
3955??            cmp [ebp+0x??],edx
3956??            cmp [esi+0x??],edx
3957??            cmp [edi+0x??],edx
3958??            cmp [eax+0x??],ebx
3959??            cmp [ecx+0x??],ebx
395A??            cmp [edx+0x??],ebx
3961??            cmp [ecx+0x??],esp
3962??            cmp [edx+0x??],esp
3963??            cmp [ebx+0x??],esp
3964????          cmp [eax+edx*4+0x??],esp
3965??            cmp [ebp+0x??],esp
3966??            cmp [esi+0x??],esp
3967??            cmp [edi+0x??],esp
3968??            cmp [eax+0x??],ebp
3969??            cmp [ecx+0x??],ebp
396A??            cmp [edx+0x??],ebp
396B??            cmp [ebx+0x??],ebp
396C????          cmp [eax+edx*4+0x??],ebp
396D??            cmp [ebp+0x??],ebp
396E??            cmp [esi+0x??],ebp
396F??            cmp [edi+0x??],ebp
3970??            cmp [eax+0x??],esi
3971??            cmp [ecx+0x??],esi
3972??            cmp [edx+0x??],esi
3973??            cmp [ebx+0x??],esi
3974????          cmp [eax+edx*4+0x??],esi
3975??            cmp [ebp+0x??],esi
3976??            cmp [esi+0x??],esi
3977??            cmp [edi+0x??],esi
3978??            cmp [eax+0x??],edi
3979??            cmp [ecx+0x??],edi
397A??            cmp [edx+0x??],edi
39??????????      cmp [eax+0x????????],edx
662B??????????    sub dx,[eax+0x????????]
6631??????????    xor [eax+0x????????],dx
6633??????????    xor dx,[eax+0x????????]
6639??????????    cmp [eax+0x????????],dx
6669????????????  imul dx,[eax+0x????????],word 0x????
666B????????????  imul dx,[eax+0x????????],byte +0x??
66??              xchg ax,ax
692B????????      imul ebp,[ebx],dword 0x????????
692F????????      imul ebp,[edi],dword 0x????????
6930????????      imul esi,[eax],dword 0x????????
6931????????      imul esi,[ecx],dword 0x????????
6932????????      imul esi,[edx],dword 0x????????
6933????????      imul esi,[ebx],dword 0x????????
6934??????????    imul esi,[eax+edx*4],dword 0x????????
6935????????????  imul esi,[dword 0x????????],dword 0x????????
6936????????      imul esi,[esi],dword 0x????????
6937????????      imul esi,[edi],dword 0x????????
6938????????      imul edi,[eax],dword 0x????????
6939????????      imul edi,[ecx],dword 0x????????
6941??????????    imul eax,[ecx+0x??],dword 0x????????
6942??????????    imul eax,[edx+0x??],dword 0x????????
6943??????????    imul eax,[ebx+0x??],dword 0x????????
6944????????????  imul eax,[eax+edx*4+0x??],dword 0x????????
6945??????????    imul eax,[ebp+0x??],dword 0x????????
6946??????????    imul eax,[esi+0x??],dword 0x????????
6947??????????    imul eax,[edi+0x??],dword 0x????????
6948??????????    imul ecx,[eax+0x??],dword 0x????????
6949??????????    imul ecx,[ecx+0x??],dword 0x????????
694A??????????    imul ecx,[edx+0x??],dword 0x????????
694B??????????    imul ecx,[ebx+0x??],dword 0x????????
694C????????????  imul ecx,[eax+edx*4+0x??],dword 0x????????
694D??????????    imul ecx,[ebp+0x??],dword 0x????????
694E??????????    imul ecx,[esi+0x??],dword 0x????????
694F??????????    imul ecx,[edi+0x??],dword 0x????????
6950??????????    imul edx,[eax+0x??],dword 0x????????
6951??????????    imul edx,[ecx+0x??],dword 0x????????
6952??????????    imul edx,[edx+0x??],dword 0x????????
6953??????????    imul edx,[ebx+0x??],dword 0x????????
6954????????????  imul edx,[eax+edx*4+0x??],dword 0x????????
6955??????????    imul edx,[ebp+0x??],dword 0x????????
6956??????????    imul edx,[esi+0x??],dword 0x????????
6957??????????    imul edx,[edi+0x??],dword 0x????????
6958??????????    imul ebx,[eax+0x??],dword 0x????????
6959??????????    imul ebx,[ecx+0x??],dword 0x????????
695A??????????    imul ebx,[edx+0x??],dword 0x????????
6961??????????    imul esp,[ecx+0x??],dword 0x????????
6962??????????    imul esp,[edx+0x??],dword 0x????????
6963??????????    imul esp,[ebx+0x??],dword 0x????????
6964????????????  imul esp,[eax+edx*4+0x??],dword 0x????????
6965??????????    imul esp,[ebp+0x??],dword 0x????????
6966??????????    imul esp,[esi+0x??],dword 0x????????
6967??????????    imul esp,[edi+0x??],dword 0x????????
6968??????????    imul ebp,[eax+0x??],dword 0x????????
6969??????????    imul ebp,[ecx+0x??],dword 0x????????
696A??????????    imul ebp,[edx+0x??],dword 0x????????
696B??????????    imul ebp,[ebx+0x??],dword 0x????????
696C????????????  imul ebp,[eax+edx*4+0x??],dword 0x????????
696D??????????    imul ebp,[ebp+0x??],dword 0x????????
696E??????????    imul ebp,[esi+0x??],dword 0x????????
696F??????????    imul ebp,[edi+0x??],dword 0x????????
6970??????????    imul esi,[eax+0x??],dword 0x????????
6971??????????    imul esi,[ecx+0x??],dword 0x????????
6972??????????    imul esi,[edx+0x??],dword 0x????????
6973??????????    imul esi,[ebx+0x??],dword 0x????????
6974????????????  imul esi,[eax+edx*4+0x??],dword 0x????????
6975??????????    imul esi,[ebp+0x??],dword 0x????????
6976??????????    imul esi,[esi+0x??],dword 0x????????
6977??????????    imul esi,[edi+0x??],dword 0x????????
6978??????????    imul edi,[eax+0x??],dword 0x????????
6979??????????    imul edi,[ecx+0x??],dword 0x????????
697A??????????    imul edi,[edx+0x??],dword 0x????????
6B2B??            imul ebp,[ebx],byte +0x??
6B2F??            imul ebp,[edi],byte +0x??
6B30??            imul esi,[eax],byte +0x??
6B31??            imul esi,[ecx],byte +0x??
6B32??            imul esi,[edx],byte +0x??
6B33??            imul esi,[ebx],byte +0x??
6B34????          imul esi,[eax+edx*4],byte +0x??
6B35??????????    imul esi,[dword 0x????????],byte +0x??
6B36??            imul esi,[esi],byte +0x??
6B37??            imul esi,[edi],byte +0x??
6B38??            imul edi,[eax],byte +0x??
6B39??            imul edi,[ecx],byte +0x??
6B41????          imul eax,[ecx+0x??],byte +0x??
6B42????          imul eax,[edx+0x??],byte +0x??
6B43????          imul eax,[ebx+0x??],byte +0x??
6B44??????        imul eax,[eax+edx*4+0x??],byte +0x??
6B45????          imul eax,[ebp+0x??],byte +0x??
6B46????          imul eax,[esi+0x??],byte +0x??
6B47????          imul eax,[edi+0x??],byte +0x??
6B48????          imul ecx,[eax+0x??],byte +0x??
6B49????          imul ecx,[ecx+0x??],byte +0x??
6B4A????          imul ecx,[edx+0x??],byte +0x??
6B4B????          imul ecx,[ebx+0x??],byte +0x??
6B4C??????        imul ecx,[eax+edx*4+0x??],byte +0x??
6B4D????          imul ecx,[ebp+0x??],byte +0x??
6B4E????          imul ecx,[esi+0x??],byte +0x??
6B4F????          imul ecx,[edi+0x??],byte +0x??
6B50????          imul edx,[eax+0x??],byte +0x??
6B51????          imul edx,[ecx+0x??],byte +0x??
6B52????          imul edx,[edx+0x??],byte +0x??
6B53????          imul edx,[ebx+0x??],byte +0x??
6B54??????        imul edx,[eax+edx*4+0x??],byte +0x??
6B55????          imul edx,[ebp+0x??],byte +0x??
6B56????          imul edx,[esi+0x??],byte +0x??
6B57????          imul edx,[edi+0x??],byte +0x??
6B58????          imul ebx,[eax+0x??],byte +0x??
6B59????          imul ebx,[ecx+0x??],byte +0x??
